Date,NSE/RELIANCE,EOD/GS,NSE/MARUTI,EOD/MSFT,NSE/TCS
2017-01-31,1045.2,229.32,5894.25,64.65,2229.8
2017-02-28,1238.05,248.06,5922.5,63.98,2466.25
2017-03-31,1320.9,229.72,6015.7,65.86,2431.8
2017-04-30,1395.2,223.8,6524.85,68.46,2273.15
2017-05-31,1340.7,211.26,7211.0,69.84,2546.6
2017-06-30,1380.0,221.9,7217.6,68.93,2362.35
2017-07-31,1615.2,225.33,7750.05,72.7,2491.8
2017-08-31,1594.5,223.74,7700.3,74.77,2496.35
2017-09-30,780.9,237.19,7978.2,74.49,2435.95
2017-10-31,940.85,242.48,8211.25,83.18,2624.0
2017-11-30,921.55,247.64,8599.1,84.17,2637.0
2017-12-31,921.05,254.76,9729.55,85.54,2701.2
2018-01-31,961.3,267.89,9509.7,95.01,3112.35
2018-02-28,954.55,262.93,8850.95,93.77,3035.05
2018-03-31,882.7,251.86,8861.1,91.27,2849.15
2018-04-30,996.3,240.09,8783.35,94.26,3451.95
